name,rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190021,97,R1,V2,U0,N0,C0,D1,P3,F0,B2,C0,L0,S0,T1,A2,S0,A2,O0,,,,,,,,
190022,92,,,,,,,,,,,,,,,,,,,,,,,,,
190023,25,K0,D0,P3,X0,H1,S1,X2,F1,W1,K0,U0,R1,Q0,M1,B1,,,,,,,,,,
190024,59,,,,,,,,,,,,,,,,,,,,,,,,,
190025,67,R1,E1,N1,W1,K1,F0,Q0,W0,T2,A2,H2,Y0,X2,K2,,,,,,,,,,,
190026,47,X2,A2,D1,C0,K1,I1,J2,N0,Z0,A1,H1,B2,I2,,,,,,,,,,,,
190027,76,Y2,M1,U1,J1,V0,K1,X2,A1,T1,K1,B0,A0,M1,K0,Y2,R1,U2,N0,W0,A2,N1,B1,H2,,
190028,89,D2,E0,H2,Q0,T0,U2,Q0,I2,A0,J1,I1,L0,X1,X2,I0,M1,G1,B0,E2,Q0,W0,R2,P1,,
190029,69,I2,B1,E1,G1,Y1,V1,B2,P3,F0,I1,T1,P1,R0,N0,S0,N1,,,,,,,,,
190030,98,P2,R0,X1,X2,K1,R2,A0,Z1,N2,G0,E2,G1,H1,Y2,C0,H2,J2,P2,F0,N2,T0,T1,,,
190031,99,S1,X2,I1,W1,E0,V2,E0,R2,U0,B2,K1,P0,P0,I1,,,,,,,,,,,
190032,13,Y1,T1,F0,P0,U2,W0,Z1,T2,H2,N2,D2,O1,,,,,,,,,,,,,
190033,50,V0,U0,L0,D1,I0,G1,V2,M1,M1,P0,N0,K1,D2,K0,B2,R1,,,,,,,,,
190034,71,I0,K2,I0,V1,U2,Z1,D1,E2,O1,G2,P1,X2,W0,H2,Y2,L1,Q0,Z0,I0,,,,,,
190035,58,A1,P2,I1,Y2,V0,D1,H2,N0,N0,S1,A0,P1,U1,Y2,I0,H2,A1,A0,G0,N2,W1,I1,T2,A1,
190036,2,T2,G1,E0,E0,E1,C1,D0,T2,P3,T0,O0,N0,X2,U1,T2,D1,N1,G0,L1,U0,T1,D0,,,
190037,62,P1,G1,D0,Z1,B0,C1,Z1,R0,Z1,A2,G0,V2,A1,C0,E1,P2,X0,K1,E2,I0,H1,D0,A0,W1,
190038,45,C0,F0,H2,P0,W1,D0,U1,J0,D0,B1,L0,Y2,W1,,,,,,,,,,,,
190039,27,B0,O1,O1,C1,F1,R2,L0,X2,P1,U2,K2,V2,B2,H2,F0,H1,,,,,,,,,
190040,91,O1,B1,V1,W0,I1,S0,N1,D0,T2,I0,W0,G2,H2,,,,,,,,,,,,
190041,48,O1,I0,P1,D1,N1,U1,N0,N2,S1,S0,E1,X1,,,,,,,,,,,,,
190042,1,J1,K1,R0,X2,V0,N2,U0,R0,J1,X0,R2,,,,,,,,,,,,,,
190043,4,T2,H2,K1,E1,Z1,V1,C2,J2,H0,Y0,X0,C2,,,,,,,,,,,,,
190044,10,E0,U2,O1,B0,X1,N1,H1,K1,C2,J0,P1,A2,B1,L0,U0,O0,F0,E1,,,,,,,
190045,61,W0,Q0,Z0,X2,S1,T2,G2,P1,R1,F1,E1,P1,T2,U0,B1,H1,D2,T1,Y2,,,,,,
190046,75,X0,K2,T2,N2,I0,T0,E1,H2,M1,O1,A1,N1,V2,Y2,W0,P1,P0,P1,C0,D1,H0,,,,
190047,84,T0,Y1,P0,B0,F1,Q0,F0,R0,O0,I2,Y2,,,,,,,,,,,,,,
190048,54,V1,B1,C2,Y0,T0,H2,B1,H1,U2,N0,R0,D2,I2,K1,,,,,,,,,,,
190049,18,J2,P2,Z1,P1,N0,J0,A1,Y1,K0,N1,I0,N1,Z0,Z0,C1,H0,,,,,,,,,
190050,53,J0,R1,C0,E0,J1,P3,Z0,G1,Y2,J2,E1,C1,V2,A0,E1,O1,,,,,,,,,
190051,33,V0,O0,K2,,,,,,,,,,,,,,,,,,,,,,
190052,30,O1,A0,T1,L0,A2,J0,T2,A1,O0,J1,H1,A1,G0,S0,J2,P2,I2,N2,D2,S1,G2,R1,,,
190053,22,I1,E2,P1,O1,L1,K0,N1,P1,S1,S1,I2,U1,F0,B0,H0,W0,M1,C0,C0,Q0,X1,,,,
190054,78,M1,A0,S0,F1,N1,P2,E1,T0,D0,N2,T1,G0,U0,J0,R2,P3,T0,C0,P3,H1,V0,R2,R1,U2,
190055,51,K2,V1,N1,N1,N2,G0,P2,D1,G2,T2,N2,U0,D0,E2,L0,V2,E0,N2,,,,,,,
190056,64,O0,G2,T2,N1,V1,N1,N2,T2,R1,Y2,J0,V1,L1,B0,U1,R2,,,,,,,,,
190057,26,V2,L0,B0,P1,O0,I2,D2,X2,C2,U0,B1,R0,W1,Y0,N0,D0,Y2,A1,X0,S1,E0,P0,,,
190058,38,G1,R2,P2,X1,B0,H1,Z0,Y2,Z0,P3,B1,U0,E2,O1,Y1,H1,Y0,H2,I0,,,,,,
190059,29,D1,L1,E0,T1,N1,N1,P2,D1,P1,S0,T2,U2,J1,G0,,,,,,,,,,,
190060,14,P1,I0,N2,V0,P1,,,,,,,,,,,,,,,,,,,,
190061,42,P0,E2,T0,T1,W1,A1,X2,U0,,,,,,,,,,,,,,,,,
190062,11,F1,W0,E0,O1,E1,J1,G2,L1,E0,U2,D1,P1,H1,V1,Z0,B0,S0,X2,V0,X1,F0,,,,
190063,95,N1,B1,I2,T2,C2,F1,K0,G1,X0,B1,T2,J1,V0,V0,,,,,,,,,,,
190064,39,E1,O1,S1,X1,L0,G1,H2,V2,U1,V2,B1,V1,F0,D2,H1,H0,G0,X2,R0,K0,V1,L0,,,
190065,16,Q0,J0,G1,T1,Y0,A2,D2,P0,D2,U2,R0,R2,Y1,B2,Q0,U1,R1,B1,A1,S0,,,,,
190066,37,I2,V1,K0,R2,D2,P2,U1,H0,Q0,S1,,,,,,,,,,,,,,,
190067,96,H0,P1,E2,S1,X0,P0,Z0,W0,W0,U1,J1,P2,C0,I2,N1,A2,F1,P1,L0,Z0,L1,S0,U1,B0,S1
190068,90,O0,O1,N0,W0,C2,L0,O1,B0,C0,Z1,U2,E1,A1,K2,S1,U2,P0,S1,C1,J1,K0,B1,A1,,
190069,83,P2,S1,E1,E1,F0,Y2,V2,T0,R0,T1,I1,U0,,,,,,,,,,,,,
190070,44,K0,P3,Y2,P3,D1,M1,V0,E0,N0,B0,G0,G1,,,,,,,,,,,,,
190071,20,B0,R0,T2,J0,A1,H0,C0,G0,,,,,,,,,,,,,,,,,
190072,68,U1,L0,G0,Q0,T2,U2,C2,H2,Q0,T1,U1,H2,H2,X1,H2,I1,Y1,X2,H2,I1,S0,T0,,,
190073,28,V0,Z0,I2,K0,N1,P0,C1,,,,,,,,,,,,,,,,,,
190074,87,F0,G1,U0,E2,Z1,O0,I1,K0,U0,R0,Z0,U0,E2,P0,,,,,,,,,,,
190075,93,R0,H0,D2,U1,I2,,,,,,,,,,,,,,,,,,,,
190076,12,D1,N0,G0,A1,O1,X0,S0,P0,V2,J1,K2,X2,B1,O1,M1,H2,P1,U0,K0,P1,F1,B1,S0,B0,Y2
190077,88,W0,G2,G1,X2,X1,Y0,Y0,J2,,,,,,,,,,,,,,,,,
190078,57,I1,B2,T1,Y2,F1,G0,F0,E0,P2,,,,,,,,,,,,,,,,
190079,72,H1,S0,J2,Y0,Z0,G0,D1,R2,L1,O1,N1,K1,C2,W1,,,,,,,,,,,
190080,86,V1,T2,I1,D0,H1,C2,D2,D0,Q0,Y0,J0,P3,H0,W0,X0,V0,L0,,,,,,,,
190081,32,U1,A0,Y2,X2,G0,V1,N2,S1,P2,N2,Q0,Y0,C2,S0,,,,,,,,,,,
190082,43,H1,K0,P2,Z1,B0,M1,P3,B2,D0,U1,C2,P3,D0,Z1,U2,R1,X0,C2,W0,V1,N0,A1,Y1,G2,I1
190083,0,Y0,X0,D1,G0,X1,I0,R1,V0,L0,B1,I1,,,,,,,,,,,,,,
190084,52,B0,U2,E2,N2,T1,O0,W0,S1,G1,C1,B1,N2,W0,I0,D0,G0,X2,J2,C0,,,,,,
190085,74,D0,T1,D0,T1,J2,B2,R1,R0,B1,U0,B2,,,,,,,,,,,,,,
190086,40,I1,X1,L1,C1,W1,P2,O0,,,,,,,,,,,,,,,,,,
190087,41,E0,H0,H1,S1,S1,B2,C1,G2,V1,Q0,K2,X0,U0,V1,G0,T0,U2,G2,C2,G1,C2,K0,Y1,A2,J0
190088,6,P1,W1,A1,I0,T0,K0,U2,H0,C2,X0,Y1,R1,U0,I0,C0,Z1,G2,D2,I2,N1,,,,,
190089,5,C2,Y0,C1,T1,I0,D2,D1,N2,J1,D1,J1,U2,C2,T0,B1,A2,Z0,D2,H1,R0,D1,J2,N1,E0,
190090,77,A1,O0,B1,J0,A1,N0,N0,K1,N2,J1,K2,X1,,,,,,,,,,,,,
190091,63,V2,M1,D2,L0,J1,,,,,,,,,,,,,,,,,,,,
190092,82,B0,A2,Z1,A2,T1,J1,F1,I2,Y2,S1,F0,C1,T1,Y1,D2,C0,N2,B0,Q0,,,,,,
190093,8,C1,K2,O0,P2,W1,O1,,,,,,,,,,,,,,,,,,,
190094,80,P1,H0,N2,B2,D1,,,,,,,,,,,,,,,,,,,,
190095,17,V2,W0,K0,R0,W1,K0,R0,U2,T2,H2,J2,T0,D1,F1,R1,N1,E1,F1,A1,N0,D2,N0,,,
190096,35,E2,T2,N0,E1,I1,N0,G1,M1,V0,V0,Q0,K0,P3,R1,F1,P3,B2,G0,,,,,,,
190097,65,V0,T2,V2,H1,U0,K1,P1,C1,L0,X1,Z1,U1,A0,P2,F1,T1,E0,P2,J1,P3,S1,,,,
190098,9,X0,G0,G1,D0,F1,N0,O1,V0,T0,Y1,Y1,I1,K2,Y2,D2,E0,G1,A2,H2,V1,D1,I2,H2,D0,
190099,23,Y0,P2,C1,X1,O0,V1,R1,B0,C0,G1,Z0,,,,,,,,,,,,,,
